album_name,artist_name,release_year,full_album_plays,total_tracks
The Freewheelin' Bob Dylan,Bob Dylan,1963.0,1,13
Let It Bleed,The Rolling Stones,1969.0,1,9
Idlewild South,Allman Brothers Band,1970.0,1,7
Tapestry,Carole King,1971.0,1,12
The Dark Side of the Moon,Pink Floyd,1973.0,2,10
Honky Tonk Heroes,Waylon Jennings,1973.0,2,10
Born To Run,Bruce Springsteen,1975.0,2,8
Stained Class,Judas Priest,1978.0,1,11
Breakfast In America (Remastered 2026),Supertramp,1979.0,1,10
Born In The U.S.A.,Bruce Springsteen,1984.0,2,12
Ride The Lightning (Remastered),Metallica,1984.0,1,8
Purple Rain,Prince,1984.0,1,9
Skeptics Apocalypse,Agent Steel,1985.0,1,9
Равноденствие,Aquarium,1987.0,3,10
Tunnel Of Love,Bruce Springsteen,1987.0,3,12
Hysteria,Def Leppard,1987.0,1,12
Pump,Aerosmith,1989.0,1,10
Gretchen Goes To Nebraska,King's X,1989.0,1,12
Full Moon Fever,Tom Petty,1989.0,1,12
Nothing Face,Voivod,1989.0,1,9
Hvis Lyset Tar Oss,Burzum,1994.0,1,4
Welcome to Sky Valley,Kyuss,1994.0,1,10
Ænima,TOOL,1996.0,3,15
If You're Feeling Sinister,Belle and Sebastian,1997.0,2,10
Dance Remix,Мираж,1997.0,1,17
The White Stripes,The White Stripes,1999.0,1,17
Pop,GAS,2000.0,1,7
Kid A,Radiohead,2000.0,1,11
Suburban Light,The Clientele,2000.0,2,13
Mass Romantic,The New Pornographers,2000.0,1,12
Discovery,Daft Punk,2001.0,2,14
"The Glow, Pt. 2",The Microphones,2001.0,1,20
Is This It,The Strokes,2001.0,3,11
Lateralus,TOOL,2001.0,1,13
Kill the Moonlight,Spoon,2002.0,1,12
Toxicity,System Of A Down,2002.0,2,3
Funeral,Arcade Fire,2004.0,3,10
Isa,Enslaved,2004.0,1,10
Река крови,Krovostok,2004.0,1,10
Leviathan,Mastodon,2004.0,3,10
I Am A Bird Now,Antony and the Johnsons,2005.0,2,10
Vocalcity,Luomo,2005.0,1,6
Alligator,The National,2005.0,1,13
Apologies to the Queen Mary,Wolf Parade,2005.0,2,12
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006.0,2,13
Yellow House,Grizzly Bear,2006.0,2,10
The Warning,Hot Chip,2006.0,2,12
Untrue,Burial,2007.0,1,13
Last Exit,Junior Boys,2007.0,1,14
Лошадь белая,Aquarium,2008.0,1,12
Nouns,No Age,2008.0,2,12
Bitte Orca,Dirty Projectors,2009.0,1,9
Veckatimest,Grizzly Bear,2009.0,1,12
TRON: Legacy,Daft Punk,2010.0,1,22
Body Talk,Robyn,2010.0,1,15
Vampire Weekend,Vampire Weekend,2010.0,2,11
Давай Забудем о Морали,Птицу ЕМЪ,2012.0,1,14
What the Brothers Sang,Dawn McCarthy,2013.0,1,13
Leak 04-13 (Bait Ones),Jai Paul,2013.0,8,16
Yeezus,Kanye West,2013.0,1,10
Alvvays,Alvvays,2014.0,1,9
Syro,Aphex Twin,2014.0,1,12
BEYONCÉ [Platinum Edition],Beyoncé,2014.0,1,20
"The Wild, the Innocent & The E Street Shuffle",Bruce Springsteen,2014.0,1,7
Zentropy,Frankie Cosmos,2014.0,6,10
The Innocents,Weyes Blood,2014.0,1,10
"Sometimes I Sit And Think, And Sometimes I Just Sit",Courtney Barnett,2015.0,2,11
"Apocalypse, girl",Jenny Hval,2015.0,2,10
To Pimp A Butterfly,Kendrick Lamar,2015.0,1,16
Blonde,Frank Ocean,2016.0,1,17
Magma,Gojira,2016.0,1,10
Zuma,Neil Young,2016.0,1,9
A Seat at the Table,Solange,2016.0,1,21
Pop 2,Charli xcx,2017.0,1,10
The OOZ,King Krule,2017.0,2,19
Hard Promises,Tom Petty and the Heartbreakers,2017.0,1,10
Invasion of Privacy,Cardi B,2018.0,1,13
Golden Hour,Kacey Musgraves,2018.0,1,13
KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018.0,1,7
El Mal Querer,ROSALÍA,2018.0,1,11
Lush,Snail Mail,2018.0,1,10
Closing Time,Tom Waits,2018.0,1,12
5,SAULT,2019.0,1,14
Titanic Rising,Weyes Blood,2019.0,1,10
how i'm feeling now,Charli xcx,2020.0,1,11
Fetch The Bolt Cutters,Fiona Apple,2020.0,1,13
Barn,Neil Young,2021.0,2,10
RENAISSANCE,Beyoncé,2022.0,2,16
Dragon New Warm Mountain I Believe In You,Big Thief,2022.0,1,20
Ants From Up There,"Black Country, New Road",2022.0,6,10
Afro,Dizzy Gillespie,2022.0,1,7
Blood Harmony,Larkin Poe,2022.0,1,11
MOTOMAMI,ROSALÍA,2022.0,6,16
Страна радости,Золотые зубы,2022.0,5,12
"Desire, I Want To Turn Into You",Caroline Polachek,2023.0,3,12
HELLMODE,Jeff Rosenstock,2023.0,1,11
"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,2023.0,2,7
eternal sunshine,Ariana Grande,2024.0,1,13
Heavy Metal,Cameron Winter,2024.0,1,10
BRAT,Charli xcx,2024.0,20,15
SHHHHHHH!,King Krule,2024.0,1,4
Against the Fall of Night,Sungazer,2024.0,1,9
LUX,ROSALÍA,2025.0,1,15
Bleeds,Wednesday,2025.0,1,12
Wuthering Heights,Charli xcx,2026.0,1,12
BULLY,Kanye West,2026.0,1,18
